Observations,Political_References,Intensity,Narrative_Tone,Listeners
Obv 1,1,142,1,4469564
Obv 2,1,169,1,7524731
Obv 3,2,135,4,3837907
Obv 4,1,159,2,3837520
Obv 5,1,180,2,5392964
Obv 6,2,118,1,2645090
Obv 7,2,124,3,10932853
Obv 8,1,129,1,2651375
Obv 9,1,164,4,15652491
Obv 10,1,161,5,1438472
Obv 11,4,138,1,29143213
Obv 12,2,168,4,7336279
Obv 13,2,176,1,5355751
Obv 14,2,135,1,2676342
Obv 15,1,107,2,1988281
Obv 16,1,137,4,3132221
Obv 17,1,89,2,3693088
Obv 18,4,166,4,5550204
Obv 19,4,80,1,5840268
Obv 20,3,113,4,2904293
Obv 21,1,158,2,2425827
Obv 22,1,112,4,44757647
Obv 23,1,102,1,3235603
Obv 24,4,152,1,4009453
Obv 25,4,168,1,136136077
Obv 26,4,115,1,73065796
Obv 27,4,157,1,21478074
Obv 28,1,127,2,13744050
Obv 29,2,153,4,8116019
Obv 30,1,98,7,10319810
Obv 31,1,194,4,103930011
Obv 32,4,75,4,7417469
Obv 33,4,145,1,22137727
Obv 34,1,99,2,150606512
Obv 35,4,140,1,8834599
Obv 36,4,95,1,10040664
Obv 37,4,136,4,49679733
Obv 38,1,138,6,5814475
Obv 39,1,134,2,13271125
Obv 40,4,128,4,5389996
Obv 41,1,180,2,4145096
Obv 42,1,128,1,4001908
Obv 43,4,170,4,4501356
Obv 44,4,144,1,2819111
Obv 45,2,138,1,2468142
Obv 46,1,120,2,10614921
Obv 47,1,114,4,15284597
Obv 48,1,97,4,12069984
Obv 49,1,101,2,106820900
Obv 50,1,129,2,4302711
Obv 51,1,157,1,8639673
Obv 52,1,118,2,5002191
Obv 53,1,123,4,4420326
Obv 54,3,134,1,7021557
Obv 55,1,90,4,4013991
Obv 56,4,89,1,2574888
Obv 57,3,168,2,3952739
Obv 58,1,144,3,4105797
Obv 59,2,105,1,1152969
Obv 60,1,102,1,2802541
Obv 61,1,128,1,44373518
Obv 62,4,162,1,6342351
Obv 63,1,170,7,31335050
Obv 64,1,114,2,1269382
Obv 65,1,159,1,722624
Obv 66,1,132,5,33523304
Obv 67,1,134,1,5999431
Obv 68,1,75,1,3196514
Obv 69,2,96,1,1962641
Obv 70,2,148,2,2150820
Obv 71,2,122,1,2306388
Obv 72,1,126,2,1390207
Obv 73,1,130,6,3262593
Obv 74,4,195,4,1273269
Obv 75,1,172,5,22901433
Obv 76,3,92,6,2112139
Obv 77,4,185,1,1679911
Obv 78,1,145,6,2075226
Obv 79,2,124,1,1269016
Obv 80,1,118,2,1687742
Obv 81,1,117,2,2091771
Obv 82,3,125,4,1012108
Obv 83,3,95,6,22726704
Obv 84,1,117,2,834892
Obv 85,1,84,1,726946
Obv 86,1,127,4,9567154
Obv 87,2,158,1,751674
Obv 88,1,131,4,3775192
Obv 89,1,78,2,929401
Obv 90,1,129,7,2075226
Obv 91,4,107,4,1269016
Obv 92,1,127,3,1687742
Obv 93,1,157,5,2091771
Obv 94,2,163,1,1012108
Obv 95,1,75,5,22726704
Obv 96,1,162,1,834892
Obv 97,2,153,6,726946
Obv 98,1,164,6,9567154
Obv 99,1,76,7,751674
Obv 100,4,179,1,3775192
Obv 101,1,113,4,929401
Obv 102,4,175,1,4819832
Obv 103,1,134,1,2552492
Obv 104,4,144,1,2475769
Obv 105,4,100,1,3393410
Obv 106,2,139,4,1403129
Obv 107,4,112,1,1057336
Obv 108,1,116,2,4005061
Obv 109,1,103,1,1572460
Obv 110,4,112,2,1003003
Obv 111,1,87,2,1991914
Obv 112,1,104,7,920575
Obv 113,2,134,2,767871
Obv 114,1,174,1,3140982
Obv 115,4,198,1,3710297
Obv 116,1,90,1,1845932
Obv 117,4,131,1,1379703
Obv 118,3,128,1,1811296
Obv 119,2,137,4,841127
Obv 120,4,123,1,864007
Obv 121,1,114,1,851256
Obv 122,1,161,1,662424
Obv 123,1,188,7,919576
Obv 124,3,83,7,5870990
Obv 125,1,164,2,4648562
Obv 126,4,132,4,2658678
Obv 127,1,175,7,1976639
Obv 128,4,112,1,1289618
Obv 129,1,144,7,1314989
Obv 130,4,174,1,1790144
Obv 131,1,149,5,1619631
Obv 132,2,152,1,4739929
Obv 133,2,146,4,1751318
Obv 134,3,94,6,1983540
Obv 135,1,160,1,7750843
Obv 136,3,158,1,9764364
Obv 137,1,187,6,1677630
Obv 138,4,99,1,1360891
Obv 139,3,136,4,1249676
Obv 140,1,82,2,1446358
Obv 141,4,142,1,1465945
Obv 142,1,147,2,1052066
Obv 143,1,146,4,1844968
Obv 144,1,174,5,971919
Obv 145,3,130,1,970863
Obv 146,1,127,7,1285459
Obv 147,1,130,4,2527747
Obv 148,3,155,1,3053344
Obv 149,4,180,7,2428007
Obv 150,2,123,1,1580695
Obv 151,2,82,1,1209309
Obv 152,1,115,4,1023887
Obv 153,4,144,1,1575908
Obv 154,1,135,4,1134914
Obv 155,1,132,4,1183801
Obv 156,4,131,4,1559874
Obv 157,2,173,4,1108181
Obv 158,4,105,6,3730664
Obv 159,2,195,1,14180791
Obv 160,1,110,1,27506834
Obv 161,1,151,4,11007788
Obv 162,1,117,4,5494984
Obv 163,2,134,4,5477226
Obv 164,4,101,4,6973091
Obv 165,2,90,4,8313344
Obv 166,1,102,1,12594003
Obv 167,3,128,1,5436938
Obv 168,1,133,1,4235190
Obv 169,2,169,1,2767839
Obv 170,3,90,4,5739237
Obv 171,2,176,1,4049107
Obv 172,3,190,1,5334494
Obv 173,2,167,4,2902186
Obv 174,1,161,7,1286195
Obv 175,2,178,4,1594465
Obv 176,1,155,4,1401909
Obv 177,1,155,1,2195068
Obv 178,1,126,1,5107240
Obv 179,1,137,2,1629939
Obv 180,3,155,4,1780214
Obv 181,3,155,2,13501374
Obv 182,4,180,3,1708910
Obv 183,2,117,3,1600899
